cowcode,ccode,year,legis,newleg,date_h,year_h,month_h,date_s,p_h,p_s,g_h,g_s,coalition,enph,enps,c_h
93,NIC,1965,1,0,1963-02-03T00:00:00Z,1963,2,,0.666666686534882,0.631578922271729,0.666666686534882,0.631578922271729,0,1.79999983310699,1.87046647071838,0.666666626930237
93,NIC,1966,1,0,1963-02-03T00:00:00Z,1963,2,,0.666666686534882,0.631578922271729,0.666666686534882,0.631578922271729,0,1.79999983310699,1.87046647071838,0.666666626930237
93,NIC,1967,1,1,1967-02-05T00:00:00Z,1967,2,,0.666666686534882,0.6875,0.666666686534882,0.6875,0,1.83858752250671,1.75342464447021,0.631687223911285
93,NIC,1968,1,0,1967-02-05T00:00:00Z,1967,2,,0.666666686534882,0.6875,0.666666686534882,0.6875,0,1.83858752250671,1.75342464447021,0.631687223911285
93,NIC,1969,1,0,1967-02-05T00:00:00Z,1967,2,,0.666666686534882,0.6875,0.666666686534882,0.6875,0,1.83858752250671,1.75342464447021,0.631687223911285
93,NIC,1970,1,0,1967-02-05T00:00:00Z,1967,2,,0.666666686534882,0.6875,0.666666686534882,0.6875,0,1.83858752250671,1.75342464447021,0.631687223911285
93,NIC,1971,1,0,1967-02-05T00:00:00Z,1967,2,,0.666666686534882,0.6875,0.666666686534882,0.6875,0,1.83858752250671,1.75342464447021,0.631687223911285
93,NIC,1972,1,1,1972-02-06T00:00:00Z,1972,2,,0.600000023841858,,0.600000023841858,,0,1.92307686805725,,0.800000011920929
93,NIC,1973,1,0,1972-02-06T00:00:00Z,1972,2,,0.600000023841858,,0.600000023841858,,0,1.92307686805725,,0.800000011920929
93,NIC,1974,1,1,1974-09-01T00:00:00Z,1974,9,,0.600000023841858,0.400000005960464,0.600000023841858,0.400000005960464,0,1.92307686805725,1.92307686805725,0.800000011920929
93,NIC,1975,1,0,1974-09-01T00:00:00Z,1974,9,,0.600000023841858,0.400000005960464,0.600000023841858,0.400000005960464,0,1.92307686805725,1.92307686805725,0.800000011920929
93,NIC,1976,1,0,1974-09-01T00:00:00Z,1974,9,,0.600000023841858,0.400000005960464,0.600000023841858,0.400000005960464,0,1.92307686805725,1.92307686805725,0.800000011920929
93,NIC,1977,1,0,1974-09-01T00:00:00Z,1974,9,,0.600000023841858,0.400000005960464,0.600000023841858,0.400000005960464,0,1.92307686805725,1.92307686805725,0.800000011920929
93,NIC,1978,1,0,1974-09-01T00:00:00Z,1974,9,,0.600000023841858,0.400000005960464,0.600000023841858,0.400000005960464,0,1.92307686805725,1.92307686805725,0.800000011920929
93,NIC,1979,1,0,1974-09-01T00:00:00Z,1974,9,,0.600000023841858,0.400000005960464,0.600000023841858,0.400000005960464,0,1.92307686805725,1.92307686805725,0.800000011920929
93,NIC,1980,0,0,,,,,,,,,,,,
93,NIC,1981,0,0,,,,,,,,,,,,
93,NIC,1982,0,0,,,,,,,,,,,,
93,NIC,1983,0,0,,,,,,,,,,,,
93,NIC,1984,0,0,,,,,,,,,,,,
93,NIC,1985,1,1,1984-11-04T00:00:00Z,1984,11,,0.635416686534882,,0.697916688397527,,1,2.27780508995056,,0.53204882144928
93,NIC,1986,1,0,1984-11-04T00:00:00Z,1984,11,,0.635416686534882,,0.635416686534882,,0,2.27780508995056,,0.461309492588043
93,NIC,1987,1,0,1984-11-04T00:00:00Z,1984,11,,0.635416686534882,,0.635416686534882,,0,2.27780508995056,,0.461309492588043
